date,m60,m120,vol60,size
2022-09-07,-0.04804023464528884,0.028146657861676545,-0.08928012199246345,-0.09675504354680316
2022-09-08,-0.049044421806608396,0.02796592344708988,-0.09029712801494501,-0.09633612772354747
2022-09-09,-0.0494263153156134,0.028867722032737995,-0.09108558254214087,-0.0959542017632335
2022-09-13,-0.04995185648307183,0.029922187463123577,-0.09162940665657505,-0.09592907956503599
2022-09-14,-0.050409645380216375,0.03056998703086178,-0.0923582980696662,-0.09597176488268254
2022-09-15,-0.049994139289428106,0.03169110383820162,-0.09213780378575104,-0.09582595014600226
2022-09-16,-0.04924491366256224,0.032280109557696064,-0.09168177368070289,-0.09599067635696061
2022-09-19,-0.0487328049179228,0.03213427849710769,-0.09148343524241455,-0.09626271090434997
2022-09-20,-0.04859555658505,0.030469256346406168,-0.09118199596327334,-0.09622889314770448
2022-09-21,-0.048890149056968084,0.02904116736236574,-0.09126073191947205,-0.09606473255656867
2022-09-22,-0.049316329809410864,0.026333145181923333,-0.09127247386569605,-0.09567978084943354
2022-09-23,-0.050215581160605254,0.022792078898462992,-0.09066618047806438,-0.09486950829683856
2022-09-26,-0.05129423457577314,0.018900212820684537,-0.09002675334196651,-0.09440207497588966
2022-09-27,-0.052163373913704215,0.015622662881866617,-0.08929761506044308,-0.09394027948297212
2022-09-28,-0.05278767236037036,0.012315272182690996,-0.08763954255824276,-0.09318870864103132
2022-09-29,-0.05380238710041543,0.008725814911915581,-0.08622284306801375,-0.09286728612031872
2022-09-30,-0.05490263536697932,0.005192847005967181,-0.08455091825352541,-0.09225694033903319
2022-10-10,-0.05717507872740899,0.0007266748523128774,-0.08258272459697445,-0.09133514771253602
2022-10-11,-0.05916760443747177,-0.0038358714109496673,-0.08112406366283435,-0.09062263652316861
2022-10-12,-0.06102998481503711,-0.008338543405911133,-0.07986703108196908,-0.09000214100153948
2022-10-14,-0.06281903789588564,-0.013279462334061425,-0.07960667154197498,-0.090016820099621
2022-10-17,-0.06503953960660537,-0.018862235724274132,-0.07922966887261144,-0.08978836017391924
2022-10-18,-0.0669573269226893,-0.024131937234758025,-0.07890918951242323,-0.08966981764417652
2022-10-19,-0.06907052708090199,-0.029731693629123934,-0.0787898043594091,-0.08942746101201837
2022-10-20,-0.07062784426567749,-0.03500492456853155,-0.07878539226615103,-0.08912328083240438
2022-10-21,-0.07258188490411195,-0.040652238947561044,-0.0785105459097938,-0.08862250719519345
2022-10-24,-0.07473126804371759,-0.046216062793436666,-0.0788484562464908,-0.08844473291256667
2022-10-25,-0.07676834267008023,-0.051521397829059457,-0.07943850345416073,-0.08867035325737165
2022-10-26,-0.07836232346626072,-0.05572759946045761,-0.08040239818599682,-0.08922708613342932
2022-10-28,-0.08033812092263125,-0.06021900508900156,-0.08093277879419761,-0.08978566490752969
2022-10-31,-0.08227560792258824,-0.06378859237371619,-0.08154684387861826,-0.09043660801194987
2022-11-01,-0.08385267285229059,-0.06687446203580358,-0.08259593165953517,-0.0913458015061757
2022-11-02,-0.08505348787169868,-0.06947719223850685,-0.08381551951518648,-0.09253169119278074
2022-11-03,-0.0869619258632086,-0.07229031229441879,-0.08480321981407746,-0.09333669708737781
2022-11-04,-0.08826291177850863,-0.07490589262673195,-0.08646335573983517,-0.09442302799560658
2022-11-07,-0.08890920244120966,-0.07605335831252497,-0.08787046944538153,-0.09477522080958148
2022-11-08,-0.08989536997023441,-0.07719716760559013,-0.0891599180088049,-0.0950236024964046
2022-11-09,-0.09080668169954133,-0.0778347459849238,-0.09039807194987619,-0.09531213584093975
2022-11-10,-0.09171434456551662,-0.07839410278780133,-0.09130457499798571,-0.09529103308519224
2022-11-11,-0.09168603673707769,-0.07839056576794969,-0.09234657357500894,-0.09540174683532268
2022-11-14,-0.0913028370870998,-0.07801093061009748,-0.09302996435446201,-0.09546948594139171
2022-11-15,-0.09085518302347192,-0.07692247988782758,-0.09414885366845298,-0.09587846137367637
2022-11-16,-0.09083689798025754,-0.07627344874428292,-0.09485421336193517,-0.09588384722835665
2022-11-17,-0.09125468472915388,-0.07554799546334777,-0.09522443932487988,-0.09578036943517455
2022-11-18,-0.09168150512592452,-0.07530778506825632,-0.09559075146647437,-0.09573355345898021
2022-11-21,-0.0923884323112726,-0.07529534464956858,-0.09572307451624233,-0.09549738118157934
2022-11-22,-0.09319004145617979,-0.07518467263146851,-0.0954346825735187,-0.09492177792433011
2022-11-23,-0.09475477198823999,-0.07663233581541827,-0.09438318190255812,-0.09378131922523798
2022-11-24,-0.09616829863413158,-0.078436985227694,-0.09337879222583576,-0.09264929862147128
2022-11-25,-0.09797508072616333,-0.08004752684116133,-0.09211883244935516,-0.09124811372013475
2022-11-28,-0.09970442952110353,-0.08206274181675949,-0.09102982345072214,-0.09002034109452665
2022-11-29,-0.10017612670454717,-0.08304337316150966,-0.09011125736956063,-0.08904458827068253
2022-11-30,-0.1004425804031359,-0.08422832697871598,-0.08939642131390241,-0.0882350897358784
2022-12-01,-0.10023775582249961,-0.0847582240343281,-0.08892365548003708,-0.08784233077289196
2022-12-02,-0.09996715302546909,-0.08503938371021529,-0.08824385932830713,-0.08739323008654243
2022-12-26,-0.10045435599792485,-0.08532029782276061,-0.0874619214916724,-0.08724321333377352
2022-12-27,-0.10093037589411931,-0.08550158996872548,-0.08692953225248881,-0.08721310744818658
2022-12-28,-0.101715246763757,-0.08546204197206766,-0.08625732738678982,-0.08697818514959499
2022-12-29,-0.10245415397391502,-0.0856292612707584,-0.08575119394044432,-0.08697793621792324
2022-12-30,-0.10305293479342628,-0.08595822141533638,-0.08514466845925552,-0.0869104500754911
2023-01-03,-0.10316803054751414,-0.0862749779127247,-0.08496282779306231,-0.08704934672074775
2023-01-04,-0.10378568221277515,-0.08630233728539954,-0.08478449615871954,-0.08721837280838265
